nm	mu_a(1/m)	mu_a(1/cm)
429	8.28	0.0828
430	8.216	0.08216
431	8.158	0.08158
432	8.069	0.08069
433	7.927	0.07927
434	7.832	0.07832
435	7.721	0.07721
436	7.652	0.07652
437	7.623	0.07623
438	7.56	0.0756
439	7.474	0.07474
440	7.383	0.07383
441	7.244	0.07244
442	7.104	0.07104
443	7	0.07
444	6.899	0.06899
445	6.811	0.06811
446	6.729	0.06729
447	6.659	0.06659
448	6.571	0.06571
449	6.464	0.06464
450	6.375	0.06375
451	6.291	0.06291
452	6.21	0.0621
453	6.135	0.06135
454	6.049	0.06049
455	5.95	0.0595
456	5.837	0.05837
457	5.751	0.05751
458	5.663	0.05663
459	5.593	0.05593
460	5.523	0.05523
461	5.413	0.05413
462	5.288	0.05288
463	5.144	0.05144
464	4.985	0.04985
465	4.846	0.04846
466	4.72	0.0472
467	4.594	0.04594
468	4.513	0.04513
469	4.434	0.04434
470	4.327	0.04327
471	4.208	0.04208
472	4.084	0.04084
473	3.961	0.03961
474	3.843	0.03843
475	3.732	0.03732
476	3.635	0.03635
477	3.534	0.03534
478	3.452	0.03452
479	3.386	0.03386
480	3.315	0.03315
481	3.261	0.03261
482	3.192	0.03192
483	3.109	0.03109
484	3.013	0.03013
485	2.919	0.02919
486	2.832	0.02832
487	2.75	0.0275
488	2.676	0.02676
489	2.597	0.02597
490	2.515	0.02515
491	2.437	0.02437
492	2.368	0.02368
493	2.298	0.02298
494	2.25	0.0225
495	2.193	0.02193
496	2.124	0.02124
497	2.06	0.0206
498	1.998	0.01998
499	1.942	0.01942
500	1.906	0.01906
501	1.875	0.01875
502	1.828	0.01828
503	1.776	0.01776
504	1.724	0.01724
505	1.683	0.01683
506	1.648	0.01648
507	1.62	0.0162
508	1.576	0.01576
509	1.534	0.01534
510	1.501	0.01501
511	1.475	0.01475
512	1.457	0.01457
513	1.432	0.01432
514	1.403	0.01403
515	1.368	0.01368
516	1.33	0.0133
517	1.298	0.01298
518	1.27	0.0127
519	1.246	0.01246
520	1.231	0.01231
521	1.211	0.01211
522	1.189	0.01189
523	1.165	0.01165
524	1.145	0.01145
525	1.132	0.01132
526	1.113	0.01113
527	1.091	0.01091
528	1.064	0.01064
529	1.042	0.01042
530	1.031	0.01031
531	1.017	0.01017
532	1.002	0.01002
533	0.991	0.00991
534	0.984	0.00984
535	0.978	0.00978
536	0.97	0.0097
537	0.951	0.00951
538	0.929	0.00929
539	0.913	0.00913
540	0.896	0.00896
541	0.88	0.0088
542	0.864	0.00864
543	0.849	0.00849
544	0.84	0.0084
545	0.833	0.00833
546	0.828	0.00828
547	0.822	0.00822
548	0.805	0.00805
549	0.785	0.00785
550	0.773	0.00773
551	0.763	0.00763
552	0.76	0.0076
553	0.757	0.00757
554	0.746	0.00746
555	0.733	0.00733
556	0.724	0.00724
557	0.718	0.00718
558	0.71	0.0071
559	0.704	0.00704
560	0.698	0.00698
561	0.69	0.0069
562	0.682	0.00682
563	0.673	0.00673
564	0.662	0.00662
565	0.653	0.00653
566	0.647	0.00647
567	0.641	0.00641
568	0.636	0.00636
569	0.63	0.0063
570	0.629	0.00629
571	0.633	0.00633
572	0.639	0.00639
573	0.632	0.00632
574	0.613	0.00613
575	0.589	0.00589
576	0.573	0.00573
577	0.562	0.00562
578	0.563	0.00563
579	0.566	0.00566
580	0.566	0.00566
581	0.564	0.00564
582	0.562	0.00562
583	0.562	0.00562
584	0.557	0.00557
585	0.548	0.00548
586	0.541	0.00541
587	0.53	0.0053
588	0.52	0.0052
589	0.512	0.00512
590	0.502	0.00502
591	0.493	0.00493
592	0.488	0.00488
593	0.485	0.00485
594	0.486	0.00486
595	0.487	0.00487
596	0.479	0.00479
597	0.472	0.00472
598	0.467	0.00467
599	0.462	0.00462
600	0.466	0.00466
601	0.471	0.00471
602	0.479	0.00479
603	0.487	0.00487
604	0.487	0.00487
605	0.484	0.00484
606	0.48	0.0048
607	0.475	0.00475
608	0.47	0.0047
609	0.469	0.00469
610	0.464	0.00464
611	0.458	0.00458
612	0.454	0.00454
613	0.442	0.00442
614	0.427	0.00427
615	0.422	0.00422
616	0.423	0.00423
617	0.43	0.0043
618	0.437	0.00437
619	0.435	0.00435
620	0.43	0.0043
621	0.425	0.00425
622	0.433	0.00433
623	0.44	0.0044
624	0.438	0.00438
625	0.432	0.00432
626	0.426	0.00426
627	0.424	0.00424
628	0.426	0.00426
629	0.428	0.00428
630	0.428	0.00428
631	0.429	0.00429
632	0.437	0.00437
633	0.444	0.00444
634	0.44	0.0044
635	0.431	0.00431
636	0.42	0.0042
637	0.422	0.00422
